layer,dataset,pca_radius,pca_mse,pca_r2,orig_radius,orig_mse,orig_r2,orig_dims
0,temporal,0.37820310336308455,0.0011859304724538017,0.9907162807690298,0.5086429575912114,1.3735779309750048e-22,1.0,2048
1,temporal,0.6001366805507393,0.0035349147407077266,0.9894040527295445,1.807375151284462,1.3744594849022668e-20,1.0,2048
2,temporal,0.7053446679864337,0.0022521477533529676,0.9949900203158684,2.2342831740468303,2.1238336439275172e-20,1.0,2048
3,temporal,0.9095027823666292,0.0018907692051948269,0.997400998626315,3.4277419476026867,1.9319729010727075e-21,1.0,2048
4,temporal,1.1161559645388848,0.011845168495162752,0.9897616999877474,4.371398028181712,1.0762679569767715e-19,1.0,2048
5,temporal,1.1436587818212236,0.009058675047044686,0.9928140125346153,4.813804506270071,1.5591015502452162e-18,1.0,2048
6,temporal,1.120252249218454,0.021520420420842918,0.9824875853342857,6.017724894916862,7.173418311937476e-19,1.0,2048
7,temporal,1.0588601301455376,0.097435290897298,0.9190272459821476,7.751328504944144,1.000817401915105e-18,1.0,2048
8,temporal,1.1905151792890278,0.05412265733185639,0.9625112662841816,5.771750583791006,2.194517103727139e-19,1.0,2048
9,temporal,1.2871546547994275,0.023438681033752823,0.985706837343481,6.948814758054651,9.870605756414655e-19,1.0,2048
10,temporal,1.4580817157482637,0.034688940294393955,0.9838046113411839,6.939355910089033,3.7546911529996254e-19,1.0,2048
11,temporal,1.793109111981187,0.057443327520883866,0.9824096414342441,8.689995752755262,8.911547854388222e-19,1.0,2048
12,temporal,1.9943726882596844,0.08720703732655999,0.9785123407867214,10.428362802494576,8.249338010979056e-20,1.0,2048
13,temporal,2.3231835071680367,0.1684997253310633,0.9694103726448572,13.128223655529474,3.973091590353631e-19,1.0,2048
14,temporal,2.848928904012618,0.07997597502558457,0.9899296384884573,15.789016379986787,1.0206914912646207e-19,1.0,2048
15,temporal,3.059901359384557,0.08633499146724466,0.9906209718855633,17.472404213005248,6.457217585595189e-24,1.0,2048
16,temporal,8.336516531879356,12.719559420432667,0.831880019651699,74.15930994981416,7.774174325006489e-20,1.0,2048
0,control,0.8755413417185439,1.734495710937021e-16,0.9999999999999982,0.8760162161628211,1.4417736769292062e-20,1.0,2048
1,control,1.8837049111709196,0.00377792584346894,0.9929471637935627,2.8885615489672407,3.28665723115569e-16,0.9999999999999994,2048
2,control,2.491211953672248,0.00897877977404792,0.9905885262591073,3.2184975302850956,9.46178807705418e-16,0.9999999999999993,2048
3,control,3.139115699951933,0.02306973949725493,0.9848673894479775,3.994266338391059,6.375215552915073e-15,0.999999999999997,2048
4,control,3.581915408577151,0.05563981379315497,0.9722967164572309,4.527809612288257,3.506025477251312e-15,0.9999999999999988,2048
5,control,3.9661138818391093,0.014280089902240611,0.9942772836222529,4.73782469602205,1.3409757110250535e-14,0.9999999999999969,2048
6,control,4.314835653535366,0.008576224789400046,0.997114801225736,4.961391764238597,6.12407175010036e-17,1.0,2048
7,control,4.386625995255868,0.00722086042587942,0.997785349331043,4.992890863153851,6.207204618632228e-15,0.9999999999999987,2048
8,control,4.284663010482941,0.007977719336445081,0.9975906354942491,4.959056329715491,1.9714491902782165e-15,0.9999999999999996,2048
9,control,4.394642821546072,0.012559209583223215,0.9965366969864047,5.229651751277948,4.548841875407556e-15,0.9999999999999991,2048
10,control,4.847690011469935,0.016116308577557043,0.9964088971935994,5.923787897218447,1.0562839168424347e-16,1.0,2048
11,control,5.875670715838707,0.01982250838173391,0.9968107059672212,7.428779480139012,1.2751753949697201e-14,0.9999999999999984,2048
12,control,6.612084458560478,0.023867814118485573,0.9971040321118549,8.173581412453997,3.689817680859338e-16,1.0,2048
13,control,7.851886334394904,0.029222265336850083,0.9975148937122055,9.416815173662336,3.6239744800298635e-15,0.9999999999999998,2048
14,control,9.240732133037096,0.034559977756279316,0.9978950196892731,10.936072216846249,4.4293682255042994e-16,1.0,2048
15,control,10.792439533313452,0.045691407165493636,0.9980010934219977,12.456748190330792,1.2741842197977275e-15,1.0,2048
16,control,70.88022044299247,2.8893701126747513,0.9971847029909737,80.52796719011924,1.367029014673275e-16,1.0,2048
