Layer,Embedding_Dim,Temporal_95%,Control_95%,Temporal_90%,Control_90%,Temporal_99%,Control_99%,Temporal_Ratio_95%,Control_Ratio_95%
0,2048,6,2,5,2,6,2,0.0029296875,0.0009765625
1,2048,6,18,5,10,7,34,0.0029296875,0.0087890625
2,2048,7,30,6,21,15,40,0.00341796875,0.0146484375
3,2048,10,30,7,22,28,40,0.0048828125,0.0146484375
4,2048,16,30,10,23,55,41,0.0078125,0.0146484375
5,2048,24,32,13,24,73,41,0.01171875,0.015625
6,2048,26,32,16,24,77,41,0.0126953125,0.015625
7,2048,29,31,17,24,81,41,0.01416015625,0.01513671875
8,2048,29,31,18,24,83,41,0.01416015625,0.01513671875
9,2048,29,30,17,23,80,40,0.01416015625,0.0146484375
10,2048,27,29,16,22,77,40,0.01318359375,0.01416015625
11,2048,24,28,15,20,70,39,0.01171875,0.013671875
12,2048,24,29,14,21,72,39,0.01171875,0.01416015625
13,2048,25,29,16,21,72,40,0.01220703125,0.01416015625
14,2048,24,29,15,21,70,40,0.01171875,0.01416015625
15,2048,25,30,16,22,76,40,0.01220703125,0.0146484375
16,2048,33,30,19,23,90,40,0.01611328125,0.0146484375
